service_id,date,exception_type
236,20201225,2
236,20210101,2
159,20201129,1
484,20201225,1
484,20210101,1
7057,20201129,2
7065,20201128,2
588,20201225,2
588,20210101,2
7056,20201129,1
7055,20201129,2
3977,20201129,2
3976,20201129,1
7054,20210201,2
7054,20210202,2
7054,20210203,2
7054,20210204,2
7054,20210205,2
7054,20210208,2
7054,20210209,2
7054,20210210,2
7054,20210211,2
7054,20210212,2
7060,20201219,2
7060,20201221,2
7060,20201222,2
7060,20201223,2
7060,20201224,2
7060,20201226,2
7060,20201228,2
7060,20201229,2
7060,20201230,2
7060,20201231,2
7060,20210102,2
4729,20210201,2
4729,20210202,2
4729,20210203,2
4729,20210204,2
4729,20210205,2
4729,20210208,2
4729,20210209,2
4729,20210210,2
4729,20210211,2
4729,20210212,2
3286,20201129,1
189,20201129,1
2796,20201129,2
7406,20201214,1
7406,20201215,1
7406,20201216,1
7406,20201217,1
7406,20210215,1
7406,20210216,1
7406,20210217,1
7406,20210218,1
7406,20210220,1
7406,20210222,1
7406,20210223,1
7406,20210224,1
7406,20210225,1
7406,20210206,1
7406,20210213,1
7406,20201219,2
7318,20201129,2
4485,20201129,2
723,20201225,1
723,20201226,1
723,20210101,1
3805,20210101,2
3805,20201225,2
3805,20201226,2
1639,20201231,1
1639,20201224,1
1639,20201226,2
2266,20201224,2
770,20201224,2
770,20201225,2
770,20201231,2
770,20210101,2
7724,20201224,2
7830,20210101,2
7830,20201225,2
7830,20201226,2
3506,20201225,2
7831,20201226,1
7831,20210101,1
7832,20201224,1
7834,20201231,2
7834,20210101,2
7834,20201224,2
7834,20201225,2
7834,20201226,2
7835,20201224,2
7836,20201219,1
7841,20201224,1
7841,20201231,1
7841,20201225,2
7841,20210101,2
7842,20201224,2
7842,20201231,2
7843,20201224,1
7843,20201231,1
7843,20201225,2
7843,20210101,2
7844,20210109,1
7844,20210116,1
7844,20210123,1
7845,20201225,2
7845,20210101,2
7846,20201225,1
7846,20210101,1
7847,20201225,1
7847,20210101,1
7849,20201225,2
7849,20210101,2
7850,20210130,2
7850,20210131,2
7850,20210206,2
7850,20210207,2
7850,20210213,2
7850,20210214,2
7850,20210220,2
7850,20210221,2
7851,20201224,1
7851,20201231,1
7851,20201225,2
7851,20210101,2
7852,20201225,2
7852,20210101,2
7853,20201225,2
7853,20210101,2
7854,20201225,1
7854,20210101,1
7855,20210130,2
7855,20210131,2
7855,20210206,2
7855,20210207,2
7855,20210213,2
7855,20210214,2
7855,20210220,2
7855,20210221,2
7856,20201225,2
7856,20210101,2
7857,20201225,1
7857,20210101,1
7858,20201225,2
7858,20210101,2
7859,20201225,2
7859,20210101,2
7860,20210109,1
7860,20210116,1
7860,20210123,1
7862,20210109,1
7862,20210116,1
7862,20210123,1
7864,20201224,1
7864,20201231,1
7864,20201225,2
7864,20210101,2
7867,20210130,2
7867,20210131,2
7867,20210206,2
7867,20210207,2
7867,20210213,2
7867,20210214,2
7867,20210220,2
7867,20210221,2
7868,20210130,2
7868,20210206,2
7868,20210213,2
7868,20210220,2
7870,20210130,2
7870,20210131,2
7870,20210206,2
7870,20210207,2
7870,20210213,2
7870,20210214,2
7870,20210220,2
7870,20210221,2
7872,20201225,1
7872,20210101,1
7874,20201225,2
7874,20210101,2
7875,20210109,1
7875,20210116,1
7875,20210123,1
7876,20201225,2
7876,20210101,2
7877,20210130,2
7877,20210131,2
7877,20210206,2
7877,20210207,2
7877,20210213,2
7877,20210214,2
7877,20210220,2
7877,20210221,2
276,20201225,2
276,20210101,2
7878,20201219,1
244,20201225,1
244,20210101,1
7880,20201225,1
7880,20210101,1
7880,20210123,2
7880,20210124,2
7881,20201224,1
7881,20201231,1
7881,20201225,2
7881,20210101,2
994,20210124,1
7882,20201224,2
7882,20201231,2
7883,20210109,1
7883,20210116,1
7883,20201219,1
7883,20201225,1
7883,20201226,1
7883,20210101,1
7883,20210102,1
7884,20201224,2
7884,20201231,2
7885,20201225,1
7885,20210101,1
7885,20210123,2
7885,20210124,2
7886,20201224,1
7886,20201231,1
7886,20201225,2
7886,20210101,2
7887,20201224,2
7887,20201231,2
7888,20201225,2
7888,20210101,2
181,20210123,1
7889,20201225,2
7889,20210101,2
7890,20210124,2
202,20210109,1
202,20210116,1
202,20201219,1
202,20201225,1
202,20201226,1
202,20210101,1
202,20210102,1
7893,20201224,1
7893,20201231,1
7893,20201225,2
7893,20210101,2
7895,20201224,1
7895,20201231,1
7895,20201225,2
7895,20210101,2
7896,20210124,1
7897,20201224,1
7897,20201231,1
7897,20201225,2
7897,20210101,2
7898,20210123,1
7899,20201224,1
7899,20201231,1
7899,20201225,2
7899,20210101,2
7900,20210124,2
7901,20201224,1
7901,20201231,1
7901,20201225,2
7901,20210101,2
993,20210124,2
7902,20201225,1
7902,20210101,1
7902,20210123,2
7903,20201224,2
7903,20201231,2
7905,20210119,1
7905,20210121,1
7905,20210122,1
7905,20201222,1
7905,20201224,1
7905,20210216,1
7905,20210218,1
7905,20210219,1
7906,20201221,2
7906,20201223,2
7906,20210118,2
7906,20210120,2
7906,20210215,2
7906,20210217,2
7907,20201227,1
7907,20201213,1
7907,20201215,1
7907,20201217,1
7907,20201218,1
7907,20201220,1
7907,20210101,2
7907,20210119,2
7907,20210121,2
7907,20210122,2
7907,20210124,2
7907,20210216,2
7907,20210218,2
7907,20210219,2
7907,20210221,2
7908,20201225,2
7908,20210101,2
7909,20201221,1
7909,20201223,1
7909,20210118,1
7909,20210120,1
7909,20210215,1
7909,20210217,1
7910,20210109,1
7910,20210116,1
7910,20201219,1
7910,20201225,1
7910,20201226,1
7910,20210101,1
7910,20210102,1
7911,20210123,2
7911,20210220,2
7911,20201225,2
7911,20210101,2
7912,20210124,2
16,20201206,1
237,20201127,1
134,20201128,1
7915,20201206,1
7917,20201206,1
558,20201207,1
7923,20201206,1
7925,20201129,1
7926,20201206,1
156,20201127,1
1377,20201127,1
7927,20201128,1
7929,20210124,2
7930,20210124,1
7931,20210123,2
7931,20210124,2
7931,20210220,2
7931,20210221,2
7932,20210123,1
7933,20210109,1
7933,20210116,1
7933,20201219,1
7933,20201225,1
7933,20201226,1
7933,20210101,1
7933,20210102,1
7937,20210124,2
7937,20210221,2
7937,20201225,2
7937,20210101,2
7938,20201225,1
7938,20210101,1
7938,20210123,2
7938,20210124,2
7939,20210124,1
7940,20210123,1
7941,20210109,1
7941,20210116,1
7941,20201219,1
7941,20201225,1
7941,20201226,1
7941,20210101,1
7941,20210102,1
7942,20210124,1
7943,20201224,2
7943,20201231,2
7944,20210124,2
7945,20201225,2
7945,20210101,2
7946,20201224,1
7946,20201231,1
7946,20201225,2
7946,20210101,2
7947,20210123,1
7948,20201225,2
7948,20210101,2
7950,20201225,2
7950,20210101,2
7951,20201225,1
7951,20210101,1
7951,20210123,2
7952,20210124,1
7953,20201224,2
7953,20201231,2
7954,20201224,1
7954,20201231,1
7954,20201225,2
7954,20210101,2
7955,20210109,1
7955,20210116,1
7955,20201219,1
7955,20201225,1
7955,20201226,1
7955,20210101,1
7955,20210102,1
7956,20201225,2
7956,20210101,2
7957,20201213,1
7957,20201218,1
7957,20201219,1
7957,20201220,1
7957,20201224,1
7957,20201225,1
7957,20201226,1
7957,20201227,1
7957,20201231,1
7957,20210101,1
7957,20210102,1
7957,20210103,1
7957,20210212,2
7957,20210123,2
7957,20210219,2
7957,20210220,2
7958,20201225,2
7958,20210101,2
7959,20210123,2
7959,20210124,2
7959,20210220,2
7959,20210221,2
7960,20210123,1
7961,20210109,1
7961,20210116,1
7961,20201219,1
7961,20201225,1
7961,20201226,1
7961,20210101,1
7961,20210102,1
7962,20210105,1
7962,20210107,1
7962,20210109,1
7962,20210112,1
7962,20210114,1
7962,20210116,1
7962,20201217,1
7962,20201215,1
7962,20201219,1
7962,20201222,1
7962,20201225,1
7962,20201226,1
7962,20201229,1
7962,20210101,1
7962,20210102,1
7962,20210119,1
7962,20210121,1
7962,20210216,1
7962,20210218,1
7962,20210223,1
7962,20210225,1
7962,20201218,2
7963,20210220,1
7964,20201224,1
7964,20201231,1
7964,20210124,2
7964,20210221,2
7964,20201225,2
7964,20210101,2
7965,20201225,2
7965,20210101,2
7967,20210124,1
7968,20210109,1
7968,20210116,1
7968,20201219,1
7968,20201225,1
7968,20201226,1
7968,20210101,1
7968,20210102,1
7969,20210123,1
7970,20201225,2
7970,20210101,2
7971,20201225,2
7971,20210101,2
7972,20210124,2
7973,20210124,2
7974,20210124,1
7975,20210118,1
7975,20210120,1
7975,20210122,1
7975,20201221,1
7975,20201223,1
7975,20201224,1
7975,20210215,1
7975,20210217,1
7975,20210219,1
7976,20210101,1
7976,20210126,1
7976,20210128,1
7976,20210130,1
7976,20210202,1
7976,20210204,1
7976,20210206,1
7976,20210209,1
7976,20210211,1
7976,20210213,1
7976,20201225,1
7976,20201226,1
7976,20201215,1
7976,20201217,1
7976,20201219,1
7976,20210223,1
7976,20210225,1
7976,20201231,2
7977,20210119,1
7977,20210121,1
7977,20201222,1
7977,20210216,1
7977,20210218,1
7978,20201225,2
7978,20210101,2
7978,20210209,2
7978,20210210,2
7978,20210216,2
7978,20210217,2
7978,20210223,2
7978,20210224,2
7979,20201231,1
7979,20201227,1
7979,20201213,1
7979,20201214,1
7979,20201216,1
7979,20201218,1
7979,20201220,1
7979,20210101,2
7979,20210118,2
7979,20210120,2
7979,20210122,2
7979,20210124,2
7979,20210215,2
7979,20210217,2
7979,20210219,2
7979,20210221,2
7980,20210123,1
7982,20201224,1
7982,20201231,1
7982,20201225,2
7982,20210101,2
7983,20201224,2
7983,20201231,2
7984,20210123,2
7984,20210220,2
7984,20210221,2
7985,20201225,2
7985,20210101,2
7986,20201224,2
7986,20201231,2
7987,20210124,2
7988,20210123,1
7990,20210124,1
7991,20201224,1
7991,20201231,1
7991,20201225,2
7991,20210101,2
7993,20210124,2
7993,20210221,2
7993,20201225,2
7993,20210101,2
7994,20201225,2
7994,20210101,2
7995,20210109,1
7995,20210116,1
7995,20201219,1
7995,20201225,1
7995,20201226,1
7995,20210101,1
7995,20210102,1
7996,20210123,1
7997,20201225,2
7997,20210101,2
7998,20210109,1
7998,20210116,1
7998,20201219,1
7998,20201225,1
7998,20201226,1
7998,20210101,1
7998,20210102,1
7999,20210109,1
7999,20210116,1
7999,20201219,1
7999,20201225,1
7999,20201226,1
7999,20210101,1
7999,20210102,1
8000,20201225,2
8000,20210101,2
8001,20201225,1
8001,20210101,1
8001,20210123,2
8001,20210124,2
8002,20210124,1
8003,20201225,1
8003,20210101,1
8003,20210123,2
191,20210220,1
8005,20201224,1
8005,20201231,1
8005,20201225,2
8005,20210101,2
1254,20210123,2
2190,20210123,2
2877,20210124,2
1935,20210109,1
1935,20210116,1
1935,20201219,1
1935,20201225,1
1935,20201226,1
1935,20210101,1
1935,20210102,1
8012,20210219,1
3734,20210123,2
3734,20210124,2
123,20201225,2
123,20210101,2
1936,20201225,1
1936,20210101,1
1936,20210123,2
1936,20210124,2
3663,20201225,1
3663,20210101,1
3546,20210123,2
