route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE156702,236,OCESN875702F1501581930,"875702",0,,
OCE156702,816,OCESN875712F1201281946,"875712",0,,
OCE156702,7809,OCESN875710F05005~TER95224,"875710",0,,
OCE156702,816,OCESN875718F1001081953,"875718",0,,
OCE156702,159,OCESN875712F1801881945,"875712",0,,
OCE156702,484,OCESN875720F1301381956,"875720",0,,
OCE156702,7057,OCESN875718F0500581955,"875718",0,,
OCE156702,692,OCESN875720F0500581957,"875720",0,,
OCE156702,7065,OCESN875700F0900981926,"875700",0,,
OCE156702,588,OCESN875700F1301381927,"875700",0,,
OCE156702,7056,OCESN875718F1301381954,"875718",0,,
OCE156702,6655,OCESN875712F0600681947,"875712",0,,
OCE156702,298,OCESN875716F1101181952,"875716",0,,
OCE156702,7055,OCESN875704F0500581936,"875704",0,,
OCE156702,3977,OCESN875716F0600681949,"875716",0,,
OCE156702,3976,OCESN875716F1601681951,"875716",0,,
OCE156702,7054,OCESN875704F1401481934,"875704",0,,
OCE156702,7060,OCESN875710F0900981942,"875710",0,,
OCE156702,4729,OCESN875708F1201281941,"875708",0,,
OCE156702,64,OCESN875702F1001081931,"875702",0,,
OCE156702,3286,OCESN875704F2002081932,"875704",0,,
OCE156702,3286,OCESN875708F1401481937,"875708",0,,
OCE156702,7055,OCESN875708F0600681939,"875708",0,,
OCE156702,7501,OCESN875730F2102181960,"875730",0,,
OCE156702,588,OCESN875730F1501581961,"875730",0,,
OCE156702,298,OCESN875742F1201281980,"875742",0,,
OCE156702,189,OCESN875744F1701781981,"875744",0,,
OCE156702,3976,OCESN875742F1801881979,"875742",0,,
OCE156702,3976,OCESN875740F2102181976,"875740",0,,
OCE156702,3977,OCESN875742F1701781977,"875742",0,,
OCE156702,298,OCESN875744F1101181983,"875744",0,,
OCE156702,7386,OCESN875748F0800881989,"875748",0,,
OCE156702,1050,OCESN875748F1301381990,"875748",0,,
OCE156702,236,OCESN875746F1101181987,"875746",0,,
OCE156702,2796,OCESN875744F0800881984,"875744",0,,
OCE156702,64,OCESN875746F0500581986,"875746",0,,
OCE156702,3286,OCESN875736F1701781967,"875736",0,,
OCE156702,298,OCESN875736F1001081968,"875736",0,,
OCE156702,7406,OCESN875734F1201281965,"875734",0,,
OCE156702,7405,OCESN875734F1701781963,"875734",0,,
OCE156702,298,OCESN875740F1301381974,"875740",0,,
OCE156702,7318,OCESN875740F0800881975,"875740",0,,
OCE156702,4485,OCESN875736F1801881971,"875736",0,,
OCE156702,7407,OCESN875734F1401481966,"875734",0,,
OCE849853,723,OCESN832507F0400466336,"832507",1,,
OCE849853,7810,OCESN832503F0500566328,"832503",1,,
OCE849853,132,OCESN832501F0200266325,"832501",1,,
OCE849853,7811,OCESN832501F0500566324,"832501",1,,
OCE849853,132,OCESN832505F0200266333,"832505",1,,
OCE849853,7812,OCESN832505F0500566332,"832505",1,,
OCE849853,7813,OCESN832501F05005~TER95215,"832501",1,,
OCE849853,7814,OCESN832503F05005~TER95217,"832503",1,,
OCE849853,7815,OCESN832505F05005~TER95219,"832505",1,,
OCE849853,132,OCESN832506F0200266335,"832506",0,,
OCE849853,132,OCESN832514F0200266345,"832514",0,,
OCE849853,7816,OCESN832514F0500566344,"832514",0,,
OCE849853,7817,OCESN832506F0500566334,"832506",0,,
OCE849853,7818,OCESN832508F0500566338,"832508",0,,
OCE849853,132,OCESN832512F0200266342,"832512",0,,
OCE849853,723,OCESN832512F0500566343,"832512",0,,
OCE849853,132,OCESN832508F0200266339,"832508",0,,
OCE849853,7819,OCESN832510F0500566340,"832510",0,,
OCE849853,7820,OCESN832502F0500566326,"832502",0,,
OCE849853,132,OCESN832502F0200266327,"832502",0,,
OCE849853,7821,OCESN832500F05005~TER95214,"832500",0,,
OCE849853,7822,OCESN832502F05005~TER95216,"832502",0,,
OCE849853,7823,OCESN832504F05005~TER95218,"832504",0,,
OCE849853,7824,OCESN832500F0500566322,"832500",0,,
OCE849853,132,OCESN832500F0200266323,"832500",0,,
OCE849853,7825,OCESN832510F05005~TER95222,"832510",0,,
OCE849853,7826,OCESN832514F05005~TER95223,"832514",0,,
OCE849853,7827,OCESN832508F05005~TER95221,"832508",0,,
OCE849853,7828,OCESN832504F0500566330,"832504",0,,
OCE849853,7829,OCESN832506F05005~TER95220,"832506",0,,
OCE240747,3805,OCESN087179F0400428208,"87179",1,,
OCE240747,298,OCESN087193F0400428235,"87193",1,,
OCE240747,2,OCESN087193F0200228236,"87193",1,,
OCE240747,2,OCESN087231F0200228276,"87231",1,,
OCE240747,1639,OCESN087183F0400428216,"87183",1,,
OCE240747,3805,OCESN087155F0400428178,"87155",1,,
OCE240747,8,OCESN087183F0200228215,"87183",1,,
OCE240747,2266,OCESN087235F0400428280,"87235",1,,
OCE240747,2,OCESN087235F0200228279,"87235",1,,
OCE240747,9,OCESN087179F0200228207,"87179",1,,
OCE240747,8,OCESN087191F0200228231,"87191",1,,
OCE240747,1639,OCESN087191F0400428232,"87191",1,,
OCE240747,2266,OCESN087247F0400428291,"87247",1,,
OCE240747,2,OCESN087181F0200228212,"87181",1,,
