service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
H1-0-1-1,1,0,0,0,0,0,0,20201102,20210702
H1-0-1-10,0,1,0,1,0,0,0,20201102,20210702
H1-0-1-11,1,1,0,1,0,0,0,20201102,20210702
H1-0-1-15,1,1,1,1,0,0,0,20201102,20210702
H1-0-1-16,0,0,0,0,1,0,0,20201102,20210702
H1-0-1-2,0,1,0,0,0,0,0,20201102,20210702
H1-0-1-27,1,1,0,1,1,0,0,20201102,20210702
H1-0-1-29,1,0,1,1,1,0,0,20201102,20210702
H1-0-1-30,0,1,1,1,1,0,0,20201102,20210702
H1-0-1-31,1,1,1,1,1,0,0,20201102,20210702
H1-0-1-4,0,0,1,0,0,0,0,20201102,20210702
H1-0-1-8,0,0,0,1,0,0,0,20201102,20210702
H1-5-1-127,1,1,1,1,1,1,1,20201107,20210703
H1-6-1-127,1,1,1,1,1,1,1,20201108,20210704
H2-0-1-1,1,0,0,0,0,0,0,20201109,20201116
H2-0-1-10,0,1,0,1,0,0,0,20201109,20201116
H2-0-1-11,1,1,0,1,0,0,0,20201109,20201116
H2-0-1-15,1,1,1,1,0,0,0,20201109,20201116
H2-0-1-16,0,0,0,0,1,0,0,20201109,20201116
H2-0-1-27,1,1,0,1,1,0,0,20201109,20201116
H2-0-1-29,1,0,1,1,1,0,0,20201109,20201116
H2-0-1-30,0,1,1,1,1,0,0,20201109,20201116
H2-0-1-31,1,1,1,1,1,0,0,20201109,20201116
H2-0-1-8,0,0,0,1,0,0,0,20201109,20201116
H2-5-1-127,1,1,1,1,1,1,1,20201114,20201114
H2-6-1-127,1,1,1,1,1,1,1,20201115,20201115
V1-0-1-10,0,1,0,1,0,0,0,20210208,20210416
V1-0-1-15,1,1,1,1,0,0,0,20210208,20210416
V1-0-1-16,0,0,0,0,1,0,0,20210208,20210416
V1-0-1-18,0,1,0,0,1,0,0,20210208,20210416
V1-0-1-27,1,1,0,1,1,0,0,20210208,20210416
V1-0-1-30,0,1,1,1,1,0,0,20210208,20210416
V1-0-1-31,1,1,1,1,1,0,0,20210208,20210416
V1-0-1-4,0,0,1,0,0,0,0,20210208,20210416
V1-5-1-127,1,1,1,1,1,1,1,20210213,20210417
V1-6-1-127,1,1,1,1,1,1,1,20210214,20210418
V2-0-1-10,0,1,0,1,0,0,0,20201221,20210423
V2-0-1-15,1,1,1,1,0,0,0,20201221,20210423
V2-0-1-16,0,0,0,0,1,0,0,20201221,20210423
V2-0-1-18,0,1,0,0,1,0,0,20201221,20210423
V2-0-1-27,1,1,0,1,1,0,0,20201221,20210423
V2-0-1-30,0,1,1,1,1,0,0,20201221,20210423
V2-0-1-31,1,1,1,1,1,0,0,20201221,20210423
V2-0-1-4,0,0,1,0,0,0,0,20201221,20210423
V2-5-1-127,1,1,1,1,1,1,1,20201226,20210424
V2-6-1-127,1,1,1,1,1,1,1,20201101,20210425
