service_id,date,exception_type
H1-0-1-1,20201109,2
H1-0-1-1,20201116,2
H1-0-1-1,20201221,2
H1-0-1-1,20201228,2
H1-0-1-1,20210208,2
H1-0-1-1,20210215,2
H1-0-1-1,20210405,2
H1-0-1-1,20210412,2
H1-0-1-1,20210419,2
H1-0-1-1,20210524,2
H1-0-1-10,20201110,2
H1-0-1-10,20201112,2
H1-0-1-10,20201222,2
H1-0-1-10,20201224,2
H1-0-1-10,20201229,2
H1-0-1-10,20201231,2
H1-0-1-10,20210209,2
H1-0-1-10,20210211,2
H1-0-1-10,20210216,2
H1-0-1-10,20210218,2
H1-0-1-10,20210413,2
H1-0-1-10,20210415,2
H1-0-1-10,20210420,2
H1-0-1-10,20210422,2
H1-0-1-10,20210513,2
H1-0-1-11,20201109,2
H1-0-1-11,20201110,2
H1-0-1-11,20201112,2
H1-0-1-11,20201116,2
H1-0-1-11,20201221,2
H1-0-1-11,20201222,2
H1-0-1-11,20201224,2
H1-0-1-11,20201228,2
H1-0-1-11,20201229,2
H1-0-1-11,20201231,2
H1-0-1-11,20210208,2
H1-0-1-11,20210209,2
H1-0-1-11,20210211,2
H1-0-1-11,20210215,2
H1-0-1-11,20210216,2
H1-0-1-11,20210218,2
H1-0-1-11,20210405,2
H1-0-1-11,20210412,2
H1-0-1-11,20210413,2
H1-0-1-11,20210415,2
H1-0-1-11,20210419,2
H1-0-1-11,20210420,2
H1-0-1-11,20210422,2
H1-0-1-11,20210513,2
H1-0-1-11,20210524,2
H1-0-1-15,20201104,2
H1-0-1-15,20201109,2
H1-0-1-15,20201110,2
H1-0-1-15,20201111,2
H1-0-1-15,20201112,2
H1-0-1-15,20201116,2
H1-0-1-15,20201221,2
H1-0-1-15,20201222,2
H1-0-1-15,20201223,2
H1-0-1-15,20201224,2
H1-0-1-15,20201228,2
H1-0-1-15,20201229,2
H1-0-1-15,20201230,2
H1-0-1-15,20201231,2
H1-0-1-15,20210208,2
H1-0-1-15,20210209,2
H1-0-1-15,20210210,2
H1-0-1-15,20210211,2
H1-0-1-15,20210215,2
H1-0-1-15,20210216,2
H1-0-1-15,20210217,2
H1-0-1-15,20210218,2
H1-0-1-15,20210405,2
H1-0-1-15,20210412,2
H1-0-1-15,20210413,2
H1-0-1-15,20210414,2
H1-0-1-15,20210415,2
H1-0-1-15,20210419,2
H1-0-1-15,20210420,2
H1-0-1-15,20210421,2
H1-0-1-15,20210422,2
H1-0-1-15,20210513,2
H1-0-1-15,20210524,2
H1-0-1-16,20201113,2
H1-0-1-16,20201225,2
H1-0-1-16,20210101,2
H1-0-1-16,20210212,2
H1-0-1-16,20210219,2
H1-0-1-16,20210416,2
H1-0-1-16,20210423,2
H1-0-1-16,20210514,2
H1-0-1-2,20201110,2
H1-0-1-2,20201222,2
H1-0-1-2,20201229,2
H1-0-1-2,20210209,2
H1-0-1-2,20210216,2
H1-0-1-2,20210413,2
H1-0-1-2,20210420,2
