stop_id,stop_name,stop_lat,stop_lon,location_type
2514,"ROZIER",45.3759782476,4.1010522922,0
2578,"ROZIER",45.3759782476,4.1010522922,0
1,"EGLISE CHAZEAU",45.3715829223,4.2773609564,0
1947,"EGLISE CHAZEAU",45.3713298885,4.2779393747,0
2,"IMPASSE MALVAL",45.3745945624,4.2775302928,0
3,"IMPASSE MALVAL",45.3748227253,4.2773467692,0
4,"RUE DE L'ABBAYE",45.3697749379,4.2767997296,0
5,"CHAZEAU",45.3676394217,4.2785122131,0
6,"MONTESSUS",45.3760737191,4.268006065,0
7,"SUPERMARCHE",45.3772463614,4.2771763054,0
12,"SUPERMARCHE",45.3772441411,4.2773039112,0
8,"LA MARTINIERE",45.3774655497,4.2707742513,0
9,"LA MARTINIERE",45.3775762663,4.2711356321,0
13,"LE CORBUSIER",45.3783823932,4.2827321458,0
14,"LES NOYERS",45.3770010869,4.2876249656,0
15,"LES NOYERS",45.3770449371,4.2876903516,0
16,"LES HAUTS NOYERS",45.3777989804,4.2857377876,0
17,"LES HAUTS NOYERS",45.3778394865,4.2859945832,0
18,"RUE DES NOYERS",45.3790187915,4.2864829893,0
20,"RUE DES NOYERS",45.3789515998,4.2867232312,0
19,"CASERNE POMPIERS",45.3790035226,4.2883850029,0
21,"CASERNE POMPIERS",45.3789243696,4.288280064,0
22,"VERTE COLLINE",45.3760936374,4.2942196744,0
2040,"VERTE COLLINE",45.3763152979,4.2938955335,0
24,"LES NOISETTES",45.3766821471,4.290422753,0
25,"LES NOISETTES",45.3766931521,4.2903082267,0
26,"CHEMIN DES PRES",45.3774316151,4.2943818697,0
2042,"CHEMIN DES PRES",45.3777650372,4.294355347,0
27,"LES ROULATTES",45.37894353,4.2907834225,0
29,"LES ROULATTES",45.378940847,4.2909365534,0
28,"RUE DE ST-JUST",45.3788862649,4.2914836858,0
2041,"RUE DE ST-JUST",45.3787439383,4.2913892821,0
30,"PABLO NERUDA",45.378722195,4.2921163337,0
2043,"PABLO NERUDA",45.3789389281,4.292072909,0
2515,"GARNAUDET",45.3812372172,4.0968146231,0
2516,"GARNAUDET",45.3811670792,4.0966974775,0
2517,"MARTINANGE",45.3800001616,4.119183753,0
2518,"MARTINANGE",45.3798730444,4.1198180804,0
34,"ZONE COMMERCIALE",45.380517367,4.2769205858,0
2429,"ZONE COMMERCIALE",45.3805415687,4.2765638984,0
