route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
01,V1-0-1-31,1000,Eglise corbusier,0,,,
08,H1-0-1-31,10000,Saint-saëns,0,,,
08,H1-0-1-31,10001,Saint-saëns,0,,,
08,H1-0-1-31,10002,Saint-saëns,0,,,
08,H1-0-1-31,10003,Saint-saëns,0,,,
08,H1-0-1-31,10004,Saint-saëns,0,,,
08,H1-0-1-31,10005,Saint-saëns,0,,,
08,H1-0-1-31,10006,Saint-saëns,0,,,
08,H1-0-1-31,10007,Saint-saëns,0,,,
08,H1-0-1-31,10008,Saint-saëns,0,,,
08,H1-0-1-31,10009,Terrasse,1,,,
01,V1-0-1-31,1001,Eglise corbusier,0,,,
08,H1-0-1-31,10010,Terrasse,1,,,
08,H1-0-1-31,10011,Terrasse,1,,,
08,H1-0-1-31,10012,Terrasse,1,,,
08,H1-0-1-31,10013,Terrasse,1,,,
08,H1-0-1-31,10014,Terrasse,1,,,
08,H1-0-1-31,10015,Terrasse,1,,,
08,H1-0-1-31,10016,Terrasse,1,,,
08,H1-0-1-31,10017,Terrasse,1,,,
08,H1-0-1-31,10018,Terrasse,1,,,
08,H1-0-1-31,10019,Terrasse,1,,,
01,V1-0-1-31,1002,Eglise corbusier,0,,,
08,H1-0-1-31,10020,Terrasse,1,,,
08,H1-0-1-31,10021,Terrasse,1,,,
08,H1-0-1-31,10022,Terrasse,1,,,
08,H1-0-1-31,10023,Terrasse,1,,,
08,H1-0-1-31,10024,Terrasse,1,,,
08,H1-0-1-31,10025,Terrasse,1,,,
08,H1-0-1-31,10026,Terrasse,1,,,
08,H1-0-1-31,10027,Terrasse,1,,,
08,H1-0-1-31,10028,Terrasse,1,,,
08,H1-0-1-31,10029,Terrasse,1,,,
01,V1-0-1-31,1003,Eglise corbusier,0,,,
08,H1-0-1-31,10030,Terrasse,1,,,
08,H1-0-1-31,10031,Terrasse,1,,,
08,H1-0-1-31,10032,Terrasse,1,,,
08,H1-0-1-31,10033,Terrasse,1,,,
08,H1-0-1-31,10034,Terrasse,1,,,
08,H1-0-1-31,10035,Terrasse,1,,,
08,H1-0-1-31,10036,Terrasse,1,,,
08,H1-0-1-31,10037,Terrasse,1,,,
08,H1-0-1-31,10038,Terrasse,1,,,
08,H1-0-1-27,10039,Terrasse,1,,,
01,V1-0-1-31,1004,Eglise corbusier,0,,,
08,H1-0-1-31,10040,Terrasse,1,,,
08,H1-0-1-31,10041,Terrasse,1,,,
08,H1-0-1-31,10042,Terrasse,1,,,
08,H1-0-1-31,10043,Terrasse,1,,,
08,H1-0-1-31,10044,Terrasse,1,,,
08,H1-0-1-31,10045,Terrasse,1,,,
08,H1-0-1-31,10046,Terrasse,1,,,
08,H1-0-1-31,10047,Terrasse,1,,,
08,H1-0-1-31,10048,Terrasse,1,,,
08,H1-0-1-31,10049,Terrasse,1,,,
01,V1-0-1-31,1005,Eglise corbusier,0,,,
08,H1-0-1-31,10050,Terrasse,1,,,
08,H1-0-1-31,10051,Terrasse,1,,,
08,H1-0-1-31,10052,Terrasse,1,,,
08,H1-0-1-31,10053,Terrasse,1,,,
